keys,en
%d in the zoo — %s,%d in the zoo — %s
%dg    %d shipped    %d crows shooed,%dg    %d shipped    %d crows shooed
%s units,%s units
%s — brain: %s,%s — brain: %s
against its usual day,against its usual day
Ant Forager,Ant Forager
Ant Scout,Ant Scout
Axe,Axe
Back,Back
Been out today,Been out today
Bot,Bot
candidates (A/B against the above),candidates (A/B against the above)
changed overnight,changed overnight
Chase birds off,Chase birds off
Chicken,Chicken
Chicken Coop,Chicken Coop
Circle me,Circle me
Clear,Clear
Close,Close
Cloudy,Cloudy
Credits,Credits
Crow,Crow
Day %d,Day %d
Deposit what I carry,Deposit what I carry
Done,Done
Egg,Egg
eggs,eggs
Energy: %d/%d,Energy: %d/%d
"Every species in SpeciesDefs, entering as its real lifecycle does.","Every species in SpeciesDefs, entering as its real lifecycle does."
Farmer,Farmer
Fencing ×10,Fencing ×10
Finish showing the robot,Finish showing the robot
First Harvest!,First Harvest!
Follow me,Follow me
"Generated from WorldLayout.HOME by the ordinary generator; walls are boundaries, the floor is a ground.","Generated from WorldLayout.HOME by the ordinary generator; walls are boundaries, the floor is a ground."
Go inside,Go inside
Go to bed,Go to bed
Golden Field!,Golden Field!
Green Thumb!,Green Thumb!
Hands,Hands
hide the playtest readout,hide the playtest readout
Hoe,Hoe
Home,Home
Homestead %d/%d crops %d/%d crows,Homestead %d/%d crops %d/%d crows
Homestead complete,Homestead complete
INVENTORY,INVENTORY
its real arrival said no,its real arrival said no
Kangaroo,Kangaroo
Keep my farm,Keep my farm
Last deposit: %s,Last deposit: %s
Master Farmer!,Master Farmer!
Mole,Mole
Music: off,Music: off
Music: on,Music: on
Neighbour,Neighbour
New farm,New farm
Next day,Next day
No %s came — %s,No %s came — %s
Nothing in the zoo yet — tap a critter.,Nothing in the zoo yet — tap a critter.
Nothing is marked yet,Nothing is marked yet
nothing sold,nothing sold
off,off
on,on
Out working…,Out working…
PAUSED,PAUSED
Pea,Pea
Pick up,Pick up
Pickaxe,Pickaxe
Pouch:,Pouch:
Press SPACE to open the shipping bin,Press SPACE to open the shipping bin
Rabbit,Rabbit
Rainy,Rainy
Re-sow,Re-sow
Resume,Resume
Return to Title,Return to Title
Robot Mk I,Robot Mk I
Robot Mk II,Robot Mk II
Robot Mk III,Robot Mk III
Robot Stall,Robot Stall
Scarecrow,Scarecrow
Seeds,Seeds
Send it out (%d tiles),Send it out (%d tiles)
Send it out (nothing needs doing today),Send it out (nothing needs doing today)
Send it out (nothing to do yet),Send it out (nothing to do yet)
Shipping bin,Shipping bin
Show it where to work (%d/%d),Show it where to work (%d/%d)
show the playtest readout,show the playtest readout
sold %d %s,sold %d %s
Songbird,Songbird
Sound Test,Sound Test
Speed %d×,Speed %d×
Spiral Tower,Spiral Tower
Sprinkler,Sprinkler
Start a new farm?,Start a new farm?
still guessing,still guessing
Sunny,Sunny
Take %s (%d stored),Take %s (%d stored)
Take every square back off the list,Take every square back off the list
Tap a sound to hear it.,Tap a sound to hear it.
Tap to add one,Tap to add one
"The bed, two windows, and very little else — on purpose (T-37).","The bed, two windows, and very little else — on purpose (T-37)."
Tiny Farm,Tiny Farm
Tomato,Tomato
Trail tints the pest pheromone channel (design/09's reserved magenta).,Trail tints the pest pheromone channel (design/09's reserved magenta).
Trail: %s,Trail: %s
Wait here,Wait here
Waiting for you outside,Waiting for you outside
wasted tries,wasted tries
Water: %d/%d,Water: %d/%d
Watering Can,Watering Can
Wheat,Wheat
Workbench,Workbench
Worm,Worm
"Yes, start over","Yes, start over"
Your Day %d farm will be replaced.,Your Day %d farm will be replaced.
Zoo,Zoo
